,index,Unnamed: 0,Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
53,82,6224,Hyundai,Accent,2016,Saudi,White,Standard,1.6,Gas,Automatic,214000,Riyadh,23500,False
54,83,688,Chevrolet,Caprice,2016,Saudi,White,Standard,6.0,Gas,Automatic,230000,Riyadh,75000,False
55,85,2515,Toyota,Ciocca,2016,Saudi,White,Semi Full,5.7,Gas,Automatic,390,Al-Medina,90000,False
56,86,5595,Toyota,Hilux,2017,Saudi,White,Semi Full,2.7,Gas,Manual,106737,Jazan,75000,False
57,87,5617,Kia,Cadenza,2017,Saudi,Brown,Standard,3.3,Gas,Automatic,15000,Riyadh,60000,False
58,89,2873,Toyota,FJ,2016,Saudi,White,Full,4.0,Gas,Automatic,193000,Dammam,110000,False
59,91,5751,Ford,Marquis,2009,Other,Silver,Semi Full,4.6,Gas,Automatic,260,Riyadh,22000,False
60,93,2203,Hyundai,Sonata,2018,Saudi,Black,Semi Full,2.5,Gas,Automatic,84000,Riyadh,68000,False
61,94,768,Toyota,Camry,2017,Saudi,Silver,Semi Full,2.5,Gas,Automatic,78000,Riyadh,60000,False
62,95,1449,Ford,Taurus,2010,Other,Black,Semi Full,3.5,Gas,Automatic,406593,Jeddah,19000,False
63,96,7988,Toyota,Avalon,2016,Saudi,White,Semi Full,3.5,Gas,Automatic,86000,Jeddah,87000,False
64,97,6869,Honda,City,2016,Gulf Arabic,Brown,Full,4.0,Gas,Automatic,51000,Riyadh,43000,False
65,98,553,Mazda,CX9,2016,Saudi,Another Color,Semi Full,3.0,Gas,Automatic,230000,Riyadh,50000,False
66,100,1286,Hyundai,Accent,2018,Saudi,Silver,Standard,1.4,Gas,Automatic,69000,Riyadh,35000,False
67,105,3155,Honda,Accord,2016,Saudi,White,Semi Full,2.4,Gas,Automatic,15000,Qassim,65000,False
68,106,5479,Ford,Expedition,2016,Saudi,White,Standard,5.4,Gas,Automatic,95000,Riyadh,72000,False
69,109,5470,Lexus,ES,2019,Gulf Arabic,Black,Standard,3.5,Gas,Automatic,33000,Riyadh,150000,False
70,110,7866,Toyota,Corolla,2016,Saudi,Silver,Full,1.6,Gas,Automatic,86500,Al-Ahsa,48000,False
71,111,376,Land Rover,Range Rover,2015,Gulf Arabic,White,Full,5.0,Gas,Automatic,140000,Riyadh,260000,False
72,112,1503,Hyundai,Veloster,2013,Saudi,Orange,Full,2.0,Gas,Automatic,248000,Riyadh,25000,False
73,113,1154,Hyundai,Sonata,2016,Saudi,Red,Standard,2.4,Gas,Automatic,220000,Riyadh,43000,False
74,114,4497,Chevrolet,Tahoe,2013,Saudi,Black,Standard,1.8,Gas,Automatic,350000,Dammam,50000,False
75,115,3370,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,92000,Jeddah,28500,False
76,116,4460,Toyota,Yaris,2019,Saudi,White,Standard,1.5,Gas,Automatic,30000,Dammam,46000,False
77,117,101,Toyota,Corolla,2015,Saudi,Silver,Standard,1.6,Gas,Automatic,176277,Dammam,37000,False
78,118,7445,Isuzu,D-MAX,2013,Saudi,White,Standard,2.5,Diesel,Manual,137000,Riyadh,55000,False
79,119,313,Changan,Seven,2020,Saudi,Red,Standard,1.5,Gas,Automatic,47528,Riyadh,28500,False
80,123,6700,Ford,Explorer,2005,Saudi,Black,Standard,4.0,Gas,Automatic,300000,Khobar,7000,False
