,index,Unnamed: 0,Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
1134,1660,683,Toyota,Hilux,2016,Gulf Arabic,White,Full,2.7,Gas,Manual,55000,Riyadh,70000,False
1135,1661,3332,Hyundai,Coupe S,2010,Saudi,Grey,Full,3.8,Gas,Automatic,240,Najran,25000,False
1136,1662,3213,Lexus,NX,2020,Gulf Arabic,Grey,Full,2.0,Gas,Automatic,25785,Riyadh,146000,False
1137,1663,6137,Ford,Taurus,2012,Gulf Arabic,Another Color,Full,3.5,Gas,Automatic,334728,Aseer,35000,False
1138,1665,6535,Lexus,IS,2005,Saudi,Silver,Full,3.5,Gas,Automatic,400000,Jeddah,50000,False
1139,1666,588,Nissan,Sunny,2019,Saudi,Grey,Standard,1.5,Gas,Automatic,56991,Jeddah,33500,False
1140,1669,3383,Ford,Echo Sport,2020,Gulf Arabic,Silver,Standard,1.5,Gas,Automatic,2819,Dammam,59000,False
1141,1670,44,Hyundai,Tucson,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,24000,Riyadh,68000,False
1142,1672,2748,Volkswagen,Passat,2015,Gulf Arabic,Black,Full,2.5,Gas,Automatic,90000,Jeddah,55000,False
1143,1673,6163,Changan,CS75,2017,Saudi,White,Full,1.8,Gas,Automatic,107000,Riyadh,37000,False
1144,1674,288,Changan,Seven,2020,Saudi,Silver,Standard,1.5,Gas,Automatic,37644,Riyadh,27500,False
1145,1677,6112,Toyota,Innova,2015,Saudi,White,Full,2.7,Gas,Automatic,185000,Riyadh,45000,False
1146,1679,4012,Chevrolet,Silverado,2018,Saudi,Silver,Standard,4.3,Gas,Automatic,70000,Abha,77000,False
1147,1680,6643,Cadillac,Escalade,2015,Saudi,Black,Full,6.2,Gas,Automatic,88000,Jeddah,160000,False
1148,1681,3087,Mercedes,E,2014,Saudi,Black,Full,4.0,Gas,Automatic,161000,Dammam,95000,False
1149,1682,1501,Mazda,6,2021,Saudi,Silver,Full,2.5,Gas,Automatic,14500,Jeddah,106000,False
1150,1683,3932,Toyota,Yaris,2019,Saudi,White,Standard,1.5,Gas,Automatic,22000,Hafar Al-Batin,41500,False
1151,1685,3609,Nissan,Sunny,2019,Saudi,Brown,Standard,1.5,Gas,Automatic,42000,Dammam,34000,False
1152,1686,279,Nissan,Patrol,2015,Saudi,Another Color,Full,5.6,Gas,Automatic,228000,Riyadh,130000,False
1153,1689,4724,Toyota,Cressida,1996,Saudi,White,Semi Full,1.5,Gas,Manual,100000,Al-Medina,6500,False
1154,1690,2230,Toyota,Innova,2018,Saudi,White,Standard,2.7,Gas,Automatic,275916,Dammam,67000,False
1155,1692,6533,Hyundai,Sonata,2016,Saudi,White,Semi Full,2.4,Gas,Automatic,305000,Riyadh,45000,False
1156,1693,7106,Toyota,Hilux,2015,Saudi,White,Semi Full,2.7,Gas,Manual,328000,Qassim,65000,False
1157,1694,4070,Mazda,CX3,2018,Saudi,Another Color,Standard,2.0,Gas,Automatic,31000,Al-Medina,55000,False
1158,1697,3708,Mercedes,C,2015,Other,White,Full,2.0,Gas,Automatic,82000,Dammam,109000,False
1159,1699,568,Hyundai,Sonata,2018,Saudi,Silver,Full,2.4,Gas,Automatic,135000,Riyadh,58000,False
1160,1702,2540,Dodge,Charger,2013,Saudi,Grey,Full,5.7,Gas,Automatic,198000,Al-Medina,42000,False
1161,1703,1982,Audi,A8,2018,Gulf Arabic,Red,Full,3.0,Gas,Automatic,44500,Dammam,310000,False
1162,1704,7446,Genesis,G80,2017,Saudi,Grey,Semi Full,3.8,Gas,Automatic,240000,Jeddah,80000,False
1163,1706,4738,Hyundai,Accent,2013,Saudi,White,Standard,1.4,Gas,Automatic,85000,Al-Medina,16000,False
1164,1708,3830,Toyota,Furniture,2020,Saudi,White,Semi Full,4.0,Gas,Automatic,40000,Dammam,132000,False
1165,1709,2692,GMC,Sierra,2020,Other,Another Color,Semi Full,5.3,Gas,Automatic,15800,Riyadh,150000,False
1166,1710,5000,Toyota,Land Cruiser,2014,Saudi,Black,Full,4.6,Gas,Automatic,310000,Sakaka,100000,False
1167,1713,729,Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,33131,Riyadh,39500,False
1168,1715,2355,Mazda,6,2017,Saudi,Red,Semi Full,2.5,Gas,Automatic,91000,Riyadh,56000,False
1169,1718,1047,Mitsubishi,Pajero,2014,Saudi,White,Full,3.8,Gas,Automatic,271943,Riyadh,46500,False
1170,1720,947,Kia,Sportage,2016,Saudi,Grey,Semi Full,2.0,Gas,Automatic,163000,Riyadh,43000,False
1171,1721,1927,Nissan,Altima,2017,Saudi,White,Standard,2.5,Gas,Automatic,40000,Riyadh,59000,False
1172,1723,1431,Mitsubishi,Pajero,2016,Saudi,White,Full,3.5,Gas,Automatic,161353,Riyadh,57500,False
1173,1725,2525,Renault,Fluence,2015,Saudi,White,Semi Full,1.6,Gas,Automatic,93470,Riyadh,23000,False
1174,1727,2619,Ford,Explorer,2016,Other,White,Full,3.6,Gas,Automatic,151000,Dammam,106000,False
1175,1729,983,Kia,Optima,2015,Saudi,Navy,Semi Full,2.4,Gas,Automatic,173544,Riyadh,37000,False
1176,1730,5209,Chevrolet,Malibu,2014,Saudi,Grey,Full,2.4,Gas,Automatic,280000,Riyadh,35000,False
1177,1731,7003,Nissan,Sunny,2011,Saudi,White,Standard,1.6,Gas,Manual,311000,Riyadh,10000,False
1178,1732,3450,Lexus,ES,2015,Saudi,Brown,Semi Full,3.5,Gas,Automatic,246398,Riyadh,85000,False
1179,1733,7274,Audi,A3,2020,Saudi,Red,Semi Full,1.4,Gas,Automatic,6000,Jeddah,105000,False
1180,1734,5503,Nissan,Patrol,2017,Saudi,Black,Semi Full,5.7,Gas,Automatic,93000,Riyadh,145000,False
1181,1735,3853,Toyota,Land Cruiser,1999,Saudi,Silver,Full,4.7,Gas,Manual,238,Makkah,40000,False
1182,1737,5850,Škoda,Fabia,2007,Saudi,Red,Standard,1.2,Gas,Manual,219000,Riyadh,6000,False
1183,1738,427,MINI,Copper,2018,Saudi,Silver,Full,2.0,Gas,Manual,59000,Riyadh,85000,False
1184,1739,73,Lexus,ES,2019,Saudi,Another Color,Full,3.5,Gas,Automatic,26000,Jeddah,207000,False
1185,1741,487,Lexus,LX,2018,Saudi,Navy,Full,5.7,Gas,Automatic,94800,Riyadh,370000,False
1186,1742,7065,Chrysler,C300,2013,Saudi,Blue,Full,5.7,Gas,Automatic,340000,Riyadh,40000,False
1187,1743,6350,Audi,A4,2013,Gulf Arabic,Another Color,Full,2.0,Gas,Automatic,250000,Riyadh,45000,False
1188,1745,1738,Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,52000,Jeddah,248000,False
1189,1746,5362,Classic,Mini Cooper,1972,Other,Another Color,Full,1.3,Gas,Manual,1000,Dammam,42000,False
1190,1748,2814,Audi,A5,2011,Saudi,White,Full,2.1,Gas,Automatic,218000,Al-Medina,40000,False
1191,1749,6770,Toyota,FJ,2014,Saudi,White,Semi Full,4.0,Gas,Automatic,237000,Jubail,85000,False
1192,1751,3774,Toyota,Innova,2017,Saudi,White,Full,2.7,Gas,Automatic,135000,Jeddah,61000,False
1193,1753,962,Toyota,Innova,2015,Saudi,Black,Semi Full,2.7,Gas,Automatic,216,Qassim,39000,False
1194,1755,2678,Ford,Taurus,2011,Saudi,Silver,Standard,3.5,Gas,Automatic,22000,Taef,50000,False
1195,1757,102,Kia,Picanto,2015,Saudi,Another Color,Standard,1.0,Gas,Automatic,133000,Al-Medina,18500,False
1196,1761,430,Chevrolet,Impala,2019,Gulf Arabic,Black,Standard,3.6,Gas,Automatic,85000,Riyadh,68500,False
1197,1762,2073,Chevrolet,Caprice,2013,Saudi,Silver,Standard,6.0,Gas,Automatic,79159,Riyadh,75000,False
1198,1763,700,Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,30302,Riyadh,38000,False
1199,1764,285,Lexus,LX,2018,Gulf Arabic,Golden,Full,7.5,Gas,Automatic,122000,Taef,340000,False
1200,1767,4221,Chrysler,C300,2016,Other,White,Semi Full,3.6,Gas,Automatic,100000,Al-Ahsa,79500,False
1201,1768,90,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,95623,Riyadh,27500,False
1202,1769,7520,Toyota,Corolla,2015,Saudi,Blue,Full,1.6,Gas,Automatic,90000,Tabouk,45000,False
1203,1770,1792,Audi,A8,2016,Saudi,Bronze,Full,3.0,Gas,Automatic,42000,Dammam,165000,False
1204,1772,100,Genesis,Royal,2015,Saudi,Red,Full,3.8,Gas,Automatic,194000,Riyadh,85000,False
1205,1773,231,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,96341,Riyadh,26000,False
1206,1774,1677,Land Rover,Range Rover,2016,Other,White,Full,5.0,Gas,Automatic,101839,Riyadh,220000,False
1207,1775,7694,Ford,Flex,2010,Saudi,Silver,Semi Full,4.0,Gas,Automatic,300,Dammam,25000,False
1208,1778,6590,Nissan,KICKS,2019,Saudi,Another Color,Full,2.4,Gas,Automatic,87000,Dammam,55000,False
1209,1779,3807,Mercedes,E,2020,Saudi,White,Full,2.0,Gas,Automatic,16000,Dammam,265000,False
1210,1781,1816,Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,555555,Riyadh,73000,False
1211,1782,2640,Chevrolet,Tahoe,2016,Saudi,Golden,Standard,5.3,Gas,Automatic,114344,Riyadh,121500,False
1212,1783,2359,Mazda,CX9,2014,Saudi,Grey,Semi Full,2.5,Gas,Manual,289000,Riyadh,50000,False
1213,1784,67,Genesis,G80,2018,Saudi,Silver,Semi Full,3.8,Gas,Automatic,70000,Riyadh,110000,False
1214,1785,1921,Honda,Accord,2017,Gulf Arabic,Blue,Full,2.5,Gas,Automatic,75000,Riyadh,90000,False
1215,1787,7756,Toyota,Hilux,2014,Gulf Arabic,White,Semi Full,2.7,Gas,Automatic,21000,Riyadh,75000,False
1216,1789,6380,Ford,Victoria,2011,Saudi,Another Color,Standard,4.6,Gas,Automatic,270,Dammam,35000,False
1217,1790,1959,Hyundai,Elantra,2016,Other,White,Standard,1.6,Diesel,Automatic,55000,Riyadh,48000,False
1218,1791,1882,Hyundai,Accent,2015,Saudi,White,Standard,1.4,Gas,Automatic,500000,Jeddah,22000,False
1219,1792,5194,Toyota,Corolla,2012,Other,Silver,Standard,1.6,Gas,Automatic,254000,Dammam,22000,False
1220,1793,684,Kia,Cerato,2017,Saudi,White,Semi Full,1.6,Gas,Automatic,76000,Riyadh,38000,False
1221,1794,5368,Toyota,Furniture,2010,Gulf Arabic,Green,Semi Full,2.7,Gas,Manual,200000,Makkah,36000,False
1222,1795,3176,Mercedes,S,2016,Saudi,Silver,Full,4.0,Gas,Automatic,64000,Dammam,330000,False
1223,1796,5063,Toyota,Land Cruiser,2012,Saudi,White,Full,4.6,Gas,Automatic,405000,Riyadh,97000,False
1224,1797,6587,Toyota,Camry,2017,Saudi,White,Standard,2.4,Gas,Automatic,97000,Riyadh,68000,False
1225,1798,4988,Mercury,Montero2,2006,Saudi,Bronze,Semi Full,6.0,Gas,Automatic,394360,Jeddah,15000,False
1226,1800,6649,Geely,EC7,2015,Other,Bronze,Standard,1.3,Gas,Manual,160000,Jeddah,14000,False
1227,1802,6370,Honda,Accord,2010,Saudi,Silver,Full,2.4,Gas,Automatic,300000,Riyadh,32000,False
1228,1803,2472,Toyota,Corolla,2009,Saudi,Blue,Standard,1.6,Gas,Automatic,480000,Riyadh,15000,False
1229,1804,3978,Ford,Victoria,2007,Saudi,Golden,Semi Full,4.6,Gas,Automatic,480,Riyadh,15000,False
1230,1805,790,Hyundai,Sonata,2017,Saudi,Silver,Standard,2.4,Gas,Automatic,127000,Riyadh,43000,False
1231,1807,4082,Porsche,Panamera,2011,Saudi,White,Full,5.7,Gas,Automatic,108000,Al-Medina,99000,False
1232,1809,5027,Toyota,Land Cruiser 70,1983,Saudi,Bronze,Standard,3.8,Gas,Manual,300000,Dammam,14000,False
1233,1810,1938,Toyota,Prado,2013,Saudi,White,Semi Full,4.0,Gas,Manual,186000,Riyadh,55000,False
1234,1811,3363,Kia,Rio,2019,Saudi,White,Standard,1.4,Gas,Automatic,85000,Jeddah,35500,False
1235,1812,5305,Hyundai,Accent,2020,Saudi,Silver,Standard,1.4,Gas,Automatic,2600,Al-Ahsa,45000,False
1236,1813,933,Renault,Safrane,2012,Saudi,White,Full,2.6,Gas,Automatic,144000,Jeddah,20000,False
1237,1814,1377,Toyota,Corolla,2020,Saudi,Grey,Standard,1.6,Gas,Automatic,67839,Jeddah,56500,False
1238,1815,3517,Toyota,Hilux,2015,Saudi,White,Full,2.7,Gas,Manual,119000,Hail,55000,False
1239,1816,5259,Suzuki,Dzire,2020,Gulf Arabic,Bronze,Full,1.2,Gas,Automatic,8500,Riyadh,33000,False
1240,1817,6879,Mercedes,S,2014,Gulf Arabic,Black,Full,3.0,Gas,Automatic,49000,Riyadh,250000,False
1241,1818,4440,Lexus,LX,2020,Saudi,White,Full,5.7,Gas,Automatic,30000,Dammam,468000,False
1242,1819,266,Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,86000,Riyadh,127000,False
1243,1822,3724,Changan,Seven,2021,Saudi,White,Standard,1.5,Gas,Automatic,11000,Riyadh,32500,False
1244,1824,5745,Mercedes,E,2017,Other,Grey,Semi Full,9.0,Gas,Manual,134000,Jeddah,155000,False
1245,1825,4171,Nissan,Sunny,2019,Other,White,Semi Full,1.5,Gas,Automatic,46000,Jeddah,32000,False
1246,1826,2808,Chevrolet,Suburban,2015,Saudi,Another Color,Standard,5.3,Gas,Automatic,201000,Dammam,105000,False
1247,1829,565,Hyundai,Sonata,2020,Saudi,Golden,Semi Full,2.5,Gas,Automatic,12000,Riyadh,78000,False
1248,1830,7234,Chevrolet,Caprice,2006,Saudi,Grey,Standard,3.6,Gas,Automatic,380000,Riyadh,5000,False
1249,1831,1804,Ford,Taurus,2016,Other,White,Full,3.5,Gas,Automatic,91815,Riyadh,86000,False
1250,1835,7039,Toyota,Land Cruiser,2017,Saudi,White,Full,5.7,Gas,Automatic,50000,Dammam,245000,False
1251,1836,1678,Mercedes,E,2017,Other,Grey,Full,3.4,Gas,Automatic,72000,Riyadh,178000,False
1252,1839,6109,Jeep,Grand Cherokee,2020,Saudi,Brown,Full,3.6,Gas,Automatic,27500,Al-Ahsa,160000,False
1253,1840,1521,Toyota,Furniture,2013,Saudi,Silver,Semi Full,4.1,Gas,Automatic,285000,Aseer,55000,False
1254,1842,3549,Ford,Taurus,2016,Saudi,Another Color,Semi Full,3.5,Gas,Automatic,175000,Makkah,56008,False
1255,1843,2753,Mercedes,ML,2005,Saudi,Blue,Semi Full,3.7,Gas,Automatic,356000,Makkah,19000,False
1256,1844,2996,Toyota,Hiace,2016,Gulf Arabic,White,Standard,2.7,Gas,Manual,146000,Qassim,55000,False
1257,1848,3935,Toyota,FJ,2012,Other,White,Full,4.0,Gas,Automatic,270,Tabouk,60000,False
1258,1852,262,Honda,Odyssey,2015,Saudi,Grey,Standard,3.5,Gas,Automatic,192000,Dammam,58000,False
1259,1854,4167,Mercedes,S,2011,Saudi,Brown,Full,3.0,Gas,Automatic,137000,Jeddah,85000,False
1260,1855,7846,Honda,Accord,2016,Saudi,White,Full,3.5,Gas,Automatic,167000,Aseer,72000,False
1261,1856,7433,Chevrolet,Traverse,2009,Other,Navy,Semi Full,3.6,Gas,Automatic,325,Al-Medina,18000,False
1262,1858,4054,Toyota,Hilux,2020,Gulf Arabic,White,Full,2.7,Gas,Manual,15000,Riyadh,105500,False
1263,1861,5342,Hyundai,Elantra,2017,Saudi,Silver,Standard,2.0,Gas,Automatic,86000,Hail,34000,False
1264,1862,1740,Toyota,Land Cruiser Pickup,2016,Saudi,Another Color,Full,4.0,Gas,Manual,26000,Jeddah,115000,False
1265,1864,5488,Kia,Cerato,2016,Saudi,White,Standard,1.6,Gas,Automatic,50000,Riyadh,29000,False
1266,1865,5911,Toyota,Ciocca,2016,Saudi,Grey,Semi Full,5.7,Gas,Automatic,333000,Dammam,78000,False
1267,1868,7551,Ford,Taurus,2017,Saudi,Silver,Standard,3.5,Gas,Automatic,125000,Khobar,62000,False
1268,1869,7422,Toyota,Furniture,2015,Saudi,White,Semi Full,2.7,Gas,Automatic,300,Al-Medina,52000,False
1269,1870,437,Chevrolet,Suburban,2018,Gulf Arabic,Black,Full,5.3,Gas,Automatic,48000,Riyadh,163000,False
1270,1871,6038,Hyundai,Sonata,2017,Saudi,White,Semi Full,2.4,Gas,Automatic,194814,Riyadh,55000,False
1271,1872,967,Hyundai,Accent,2020,Saudi,Grey,Standard,1.4,Gas,Automatic,25234,Riyadh,44000,False
1272,1873,3852,GMC,Sierra,2019,Saudi,Black,Standard,5.3,Gas,Automatic,8900,Al-Jouf,130000,False
1273,1874,6039,Changan,Eado,2020,Saudi,Brown,Semi Full,1.6,Gas,Automatic,89770,Riyadh,42000,False
1274,1875,2438,Toyota,Corolla,2020,Saudi,Silver,Standard,1.6,Gas,Automatic,81000,Jeddah,55000,False
1275,1876,5670,Kia,Cerato,2017,Saudi,Navy,Full,1.6,Gas,Automatic,77500,Jeddah,42000,False
1276,1877,5352,Lexus,ES,2014,Saudi,Brown,Full,3.5,Gas,Automatic,230000,Jubail,82000,False
1277,1878,6488,Dodge,Charger,2020,Saudi,Grey,Standard,3.6,Gas,Automatic,11000,Riyadh,100000,False
1278,1879,4794,Toyota,Yaris,2017,Saudi,White,Standard,1.3,Gas,Automatic,127000,Jeddah,29000,False
1279,1881,3126,Toyota,Land Cruiser,2020,Gulf Arabic,White,Semi Full,5.7,Gas,Automatic,14598,Riyadh,289500,False
1280,1882,2740,Hyundai,Elantra,2017,Saudi,White,Standard,2.0,Gas,Automatic,237000,Riyadh,42000,False
1281,1884,2869,Ford,Fusion,2016,Gulf Arabic,White,Semi Full,1.2,Gas,Automatic,99200,Dammam,45000,False
1282,1885,162,Chevrolet,Camaro,2016,Other,Red,Full,3.6,Gas,Automatic,94000,Dammam,106000,False
1283,1886,3914,Nissan,Datsun,2009,Saudi,White,Semi Full,2.0,Gas,Manual,85000,Al-Medina,45000,False
1284,1887,2070,Toyota,C-HR,2020,Saudi,Silver,Full,2.0,Gas,Automatic,11000,Dammam,90000,False
1285,1889,7522,Chrysler,S300,2011,Other,White,Full,1.3,Gas,Automatic,140000,Aseer,23000,False
1286,1891,3387,GMC,Yukon,2013,Saudi,Black,Semi Full,5.3,Gas,Automatic,289000,Dammam,55000,False
1287,1893,1983,Nissan,Z370,2020,Saudi,Grey,Full,3.7,Gas,Manual,3000,Dammam,129000,False
1288,1894,4378,Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,54000,Dammam,42000,False
1289,1895,4728,Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,47286,Dammam,49000,False
1290,1896,3576,GMC,Sierra,2006,Gulf Arabic,White,Semi Full,5.3,Gas,Automatic,283000,Dammam,29000,False
1291,1897,5420,Toyota,Land Cruiser,2011,Saudi,White,Full,4.6,Gas,Automatic,79000,Riyadh,145000,False
1292,1899,6732,Nissan,X-Trail,2017,Saudi,Grey,Semi Full,2.5,Gas,Automatic,119000,Riyadh,51000,False
1293,1902,710,Mercedes,C,2017,Other,Silver,Full,2.0,Gas,Automatic,96000,Dammam,170000,False
1294,1906,7330,Toyota,Camry,2014,Gulf Arabic,White,Standard,2.2,Gas,Automatic,80250,Al-Baha,55000,False
1295,1907,2241,Toyota,Hiace,2017,Saudi,Red,Standard,2.7,Gas,Manual,61000,Dammam,63000,False
1296,1908,3079,Toyota,Land Cruiser,2011,Saudi,White,Full,4.0,Gas,Automatic,349266,Riyadh,100000,False
1297,1909,827,Nissan,Patrol,2016,Saudi,White,Semi Full,5.6,Gas,Automatic,145000,Qassim,128000,False
1298,1910,7731,Kia,Rio,2017,Saudi,Silver,Semi Full,1.4,Gas,Automatic,12000,Dammam,26500,False
1299,1911,7019,Ford,Victoria,2011,Saudi,Navy,Semi Full,4.6,Gas,Automatic,312338,Riyadh,25000,False
1300,1915,2590,Genesis,G70,2018,Saudi,Black,Full,2.0,Gas,Automatic,86867,Riyadh,116500,False
1301,1916,1979,Chevrolet,Caprice,2013,Saudi,Black,Full,5.7,Gas,Automatic,148316,Dammam,65000,False
1302,1918,4721,Ford,Taurus,2011,Saudi,Black,Semi Full,3.5,Gas,Automatic,230,Riyadh,35000,False
1303,1919,663,Chevrolet,Tahoe,2016,Saudi,Another Color,Semi Full,5.3,Gas,Automatic,107320,Riyadh,130000,False
1304,1921,193,Kia,Optima,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,40000,Riyadh,55000,False
1305,1922,247,GMC,Yukon,2008,Saudi,White,Full,5.3,Gas,Automatic,200000,Jeddah,38000,False
1306,1924,2760,Toyota,Camry,2014,Saudi,White,Standard,2.5,Gas,Automatic,83000,Riyadh,40500,False
1307,1925,6678,GMC,Yukon,2011,Saudi,Black,Standard,5.3,Gas,Automatic,156000,Dammam,47000,False
1308,1926,4875,Toyota,Camry,2020,Saudi,White,Full,2.4,Gas,Automatic,2000,Makkah,119000,False
1309,1927,1641,Ford,Victoria,2011,Other,Silver,Full,4.6,Gas,Automatic,129000,Dammam,25000,False
1310,1928,3130,Toyota,Land Cruiser,2018,Saudi,White,Full,4.6,Gas,Automatic,141197,Riyadh,195000,False
1311,1930,7375,Audi,A4,2009,Gulf Arabic,White,Full,1.8,Gas,Automatic,223000,Jeddah,27000,False
1312,1931,485,Nissan,Navara,2015,Saudi,White,Full,2.5,Gas,Manual,83000,Jeddah,45000,False
1313,1932,6444,GMC,Yukon,2011,Saudi,Bronze,Semi Full,5.3,Gas,Automatic,223,Hail,40000,False
1314,1933,7010,Toyota,Camry,2016,Gulf Arabic,Navy,Full,2.6,Gas,Automatic,183000,Dammam,70000,False
1315,1934,1598,Mazda,6,2018,Saudi,Brown,Standard,2.5,Gas,Automatic,198,Jeddah,55000,False
1316,1935,7129,Kia,Rio,2016,Saudi,Red,Standard,1.6,Gas,Automatic,80000,Makkah,25000,False
1317,1936,7999,Hyundai,Accent,2019,Gulf Arabic,Silver,Standard,1.4,Gas,Automatic,62000,Khobar,37000,False
1318,1938,7917,Toyota,Camry,2006,Saudi,Blue,Semi Full,2.4,Gas,Automatic,240000,Riyadh,20000,False
1319,1939,5049,Nissan,Altima,2015,Gulf Arabic,Golden,Semi Full,2.5,Gas,Automatic,13000,Qassim,51000,False
1320,1940,2877,GMC,Yukon,2008,Saudi,Bronze,Standard,5.3,Gas,Automatic,189000,Dammam,45000,False
1321,1941,2274,Hyundai,Accent,2018,Saudi,Silver,Standard,1.4,Gas,Automatic,63012,Dammam,32000,False
1322,1943,2328,Suzuki,Vitara,2020,Saudi,Another Color,Full,1.6,Gas,Automatic,5900,Jeddah,77500,False
1323,1944,7865,Toyota,Prado,2018,Saudi,White,Standard,4.1,Gas,Automatic,97000,Riyadh,127000,False
1324,1945,1099,Honda,Odyssey,2016,Gulf Arabic,White,Standard,2.4,Gas,Automatic,87000,Riyadh,65000,False
1325,1946,5669,Mazda,CX9,2015,Gulf Arabic,Grey,Full,2.4,Gas,Automatic,138020,Qassim,58000,False
1326,1947,1307,Toyota,Hilux,2016,Saudi,White,Standard,2.7,Gas,Manual,155000,Riyadh,61000,False
1327,1949,2021,Chevrolet,Traverse,2016,Other,White,Full,3.5,Gas,Automatic,154000,Dammam,85000,False
1328,1950,5695,Mercedes,POS24,1970,Saudi,Grey,Standard,1.0,Diesel,Manual,300000,Hail,45000,False
1329,1951,4793,Chevrolet,Suburban,2012,Saudi,Brown,Standard,5.3,Gas,Automatic,220,Jeddah,65000,False
1330,1953,5956,Changan,CS75,2020,Saudi,Grey,Full,1.8,Gas,Automatic,46000,Al-Ahsa,62000,False
1331,1955,4874,GMC,Terrain,2014,Saudi,Black,Full,3.6,Gas,Automatic,112000,Dammam,47000,False
1332,1956,232,Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,87775,Riyadh,26000,False
1333,1957,3573,Mercedes,E,2021,Saudi,Black,Full,2.0,Gas,Automatic,7000,Riyadh,290000,False
1334,1958,4253,Mercedes,S,2014,Saudi,Black,Full,3.0,Gas,Automatic,90000,Riyadh,220000,False
1335,1962,6428,Jeep,Cherokee,1992,Saudi,Red,Standard,2.4,Gas,Manual,300000,Al-Ahsa,16000,False
1336,1963,2007,Ford,Mustang,2019,Other,Red,Full,2.3,Gas,Automatic,41000,Dammam,123000,False
1337,1964,3687,Toyota,Land Cruiser,2013,Gulf Arabic,White,Full,1.0,Gas,Automatic,495,Riyadh,90000,False
1338,1965,2360,Hyundai,Accent,2017,Saudi,White,Semi Full,1.6,Gas,Automatic,138000,Riyadh,31000,False
1339,1968,1044,Kia,Sportage,2018,Gulf Arabic,Bronze,Semi Full,2.0,Gas,Automatic,46000,Hafar Al-Batin,58600,False
1340,1971,2932,Nissan,Sentra,2016,Saudi,Grey,Semi Full,1.6,Gas,Automatic,113000,Riyadh,31000,False
1341,1972,1312,Hyundai,Accent,2019,Saudi,Silver,Standard,1.4,Gas,Automatic,70900,Dammam,40000,False
1342,1973,4141,Mitsubishi,Nativa,2010,Saudi,Silver,Semi Full,3.0,Gas,Automatic,244,Hail,17000,False
1343,1975,5988,Ford,Fusion,2017,Other,White,Full,2.0,Diesel,Automatic,55000,Riyadh,65000,False
1344,1976,4080,Hyundai,Accent,2018,Saudi,Black,Standard,1.4,Gas,Automatic,105000,Riyadh,35000,False
1345,1979,6084,Ford,Explorer,2014,Saudi,Silver,Semi Full,3.5,Gas,Automatic,168322,Al-Medina,60000,False
1346,1980,6615,Nissan,Patrol,2016,Saudi,White,Full,5.6,Gas,Automatic,139000,Riyadh,158000,False
1347,1981,2484,Ford,Edge,2013,Saudi,White,Standard,3.6,Gas,Automatic,240000,Riyadh,35000,False
1348,1982,1029,Ford,Flex,2015,Saudi,Black,Full,1.0,Gas,Automatic,81000,Riyadh,66000,False
1349,1983,5981,Mitsubishi,Pajero,2017,Saudi,White,Full,3.5,Gas,Automatic,81000,Dammam,72000,False
1350,1984,6542,Ford,Mustang,2004,Other,Silver,Full,4.6,Gas,Manual,172,Jeddah,35000,False
1351,1986,4919,Lexus,ES,2019,Gulf Arabic,Red,Semi Full,2.5,Gas,Automatic,13029,Riyadh,145000,False
1352,1987,757,Hyundai,Accent,2019,Saudi,Brown,Standard,1.4,Gas,Automatic,102113,Riyadh,39500,False
1353,1988,4909,Lexus,ES,2017,Other,Golden,Full,3.5,Gas,Automatic,101000,Al-Ahsa,119000,False
1354,1989,2988,Toyota,Hiace,2016,Saudi,White,Standard,2.7,Gas,Manual,264000,Dammam,65000,False
1355,1990,2933,Toyota,Land Cruiser,2019,Gulf Arabic,White,Full,4.0,Gas,Automatic,30000,Riyadh,194500,False
1356,1991,4218,Toyota,Avalon,2017,Saudi,White,Standard,1.2,Gas,Automatic,200000,Riyadh,80000,False
1357,1992,1708,Lexus,ES,2021,Saudi,Grey,Semi Full,2.5,Gas,Automatic,3000,Makkah,177000,False
1358,1994,3690,Honda,Odyssey,2020,Saudi,Another Color,Standard,3.5,Gas,Automatic,40000,Jeddah,100000,False
1359,1996,6734,Kia,Cerato,2017,Saudi,Black,Standard,1.6,Gas,Automatic,132700,Dammam,29000,False
1360,1997,3588,Hyundai,Bus County,2016,Saudi,Bronze,Full,3.0,Diesel,Manual,44000,Jeddah,97000,False
1361,1999,2954,Lexus,LS,2020,Saudi,Grey,Standard,3.5,Gas,Automatic,2900,Riyadh,325000,False
